Category,Category Code,Tier,Reporting Responsibility,Measurement,Indicator Code,Indicator,Alignment,Indicator Formula,Frequency of Reporting,Definition
Energy and Electricity,EE,Tier 1,Metro,Average number of interruptions,EE3.3,System Average Interruption Frequency Index,Improved reliability of electricity service,(1) Sum of number of customers interrupted by sustained incident x) / (2) Total number of electricity customers,Quarterly,Key measure from systems perspective of how often the average customer experiences a sustained interruption over a predefined period of time
Energy and Electricity,EE,Tier 1,Metro,Average number of interruptions,EE3.4,Customer Average Interruption Frequency Index,Improved reliability of electricity service,(1) Total number of sustained customer interruptions per annum / (2) Total number of distinct customers interrupted,Quarterly,Average frequency of sustained interruptions for those customers experiencing sustained interruptions
Energy and Electricity,EE,Tier 1,Metro,Percentage of energy capacity (MW),EE4.1,Renewable energy capacity available within the municipal jurisdiction as a percentage of Eskom supply capacity to the municipality,Improved energy sustainability,((1) Amount of renewable energy capacity available from IPPs + (2) Amount of renewable energy capacity available from municipal own generation + (3) Total installed capacity of embedded generators)/(4) Total energy capacity available from Eskom.,Quarterly,"The total renewable energy capacity that is available within the municipal jurisdiction via the IPPs, own generation and embedded generators."
Energy and Electricity,EE,Tier 3,Metro,Total capacity available to the metro from renewable energy IPPs,EE4.11,Total renewable energy capacity available through IPPs,Improved energy sustainability,The total (1) sum of capacities available from all renewable IPPs the metro has PPAs with,Annual,a. Sum of (Capacity available from a renewable IPP)
Energy and Electricity,EE,Tier 1,Metro,MW,EE4.12,Installed capacity of approved embedded generators on the municipal distribution network,Improved energy sustainability,(1) Sum of all SSEG installation capacities within municipal distribution network,Annual,The total capacity of the SSEG installations in the municipal distribution network
Energy and Electricity,EE,Tier 3,Shared,kWh:person,EE4.2,Electricity usage per capita,Improved energy sustainability,((1) Total Eskom sales direct to muicipal customers + (2) Eskom non-technical losses apportioned to the municipality + (3) Total municipal sales + (4) Municipal non-technical losses))/ (5) Municipal population,Annual,The average amount of electricity usage per person living in the municipal area
Energy and Electricity,EE,Tier 1,Shared,kWh:person,EE4.3,Road transport fuel usage per capita,Improved energy sustainability, (1) Total liquid fuels sales for road transport / (2) Municipal population,Annual,The average amount of liquid fuels  usage per person living in the municipal area
Energy and Electricity,EE,Tier 1,Metro,Percentage kWh,EE4.4,Percentage total electricity losses,Improved energy sustainability,((1)Electricity Purchases in kWh) - ((2)Electricity sales in kWh)) / ((1)Electricity Purchases in kWh) x100,Annual,"Electricity losses have two components: technical and non-technical. Technical losses occur naturally and consist mainly of power dissipation in electricity system components such as transmission and distribution lines, transformers, and measurement systems. Non-technical losses are caused by actions external to the power system and consist primarily of electricity theft, faulty or inaccurate meters, and errors in accounting and record-keeping.   Losses is a measure of unaccounted for energy.  Thus non-payment is not included as losses. "
Environment and Waste,ENV,Tier 1,National,Air quality index level,ENV1.1,Metro Air Quality Index (MAQI),Improved air quality,Maximum of [(1) annual average SO2 / (3) NAAQ Standard for SO2); (2) Annual average PM10/(4) NAAQ Standard for PM10). See PAAQI guidelines for detailed formula,Annual,"The Metro Air Quality Index (MAQI) provides a measure of the status of the most problematic air pollution in relation to accepted air quality standards. The MAQI is defined as the maximum value of the normalized ratios of the annual averages of PM10 and SO2 measured by the air quality monitoring station network in metro areas for each year. MAQI values of 1 and above, means that air quality does not meet ambient air quality standards. MAQI values below 1 means that air quality complies with ambient air quality standards."
Environment and Waste,ENV,Tier 2,Metro,Percentage of emission licenses,ENV1.11,Percentage of atmospheric emission licenses (AELs) processed within guideline timeframes,Improved air quality,[(2)Route 1 AELs processed within guideline timeframe + (4) Route 2 renewal AELs processed within guideline timeframe+ (6)AEL amendment requests processed ] / [(1)All Route 1 AELs submitted +  (3)AELs submitted for renewal + (5) AEL's submitted for amendment],Annual,"The percentage of AEL applications processed within the guideline turnaround times as specified in the Manual for Licensing Authorities (2009).  Decisions which are made within the guideline timeframes will be 100%, with lower percentages indicating longer processing times. "
Environment and Waste,ENV,Tier 2,Metro,Percentage AQ stations,ENV1.12,Proportion of AQ monitoring stations providing adequate data over a reporting year,Improved air quality,((1) Number of fully operational AQ monitoring stations / (2) Total AQ monitoring stations within metro) X 100,Annual,The proportion of AQ monitoring stations which are sufficiently functional to provide an accurate indication of air quality over a full reporting year in the muncipal area. This is currently defined as providing at least 80% of a full years worth of anticipated data.
Environment and Waste,ENV,Tier 3,Metro,Percentage of applications,ENV1.13,Proportion of municipal AEL applications captured on the National Atmospheric Emissions Inventory System,Improved air quality,(1) Number of AEL licenses issued by the muncipality for which information has been entered into the NAEIS / (2) Number of AELs issued by the metro,Annual,"The proportion of AEL licenses issued by the municipality, for which information is available on the National Atmospheric Emissions Inventory System."
Environment and Waste,ENV,Tier 1,Metro,Number of days,ENV1.2,Number of days where PM2.5 levels exceeded guideline levels,Improved air quality,"Max of ((3) count of number of exceedances where (1) average daily concentrations of PM2,5 > (2) regulated standard for average daily concentrations of PM2.5] - 4; or 0)",Annual,"Number of days (per municipal financial year) where the levels of PM2.5 exceed the national standard, in excess of the permitted maximum of 4 exceedances  per annual reporting period."
Environment and Waste,ENV,Tier 1,National,Percentage of households experiencing a problem with noise pollution,ENV1.3,Percentage of households experiencing a problem with noise pollution,Improved air quality,(1) Number of households experiencing noise pollution/ (2) Total number of households in the municipality X 100,Annual,"The percentage of households that report ""Excessive noise/noise pollution"" as an environmental problem experienced in their community."
Environment and Waste,ENV,Tier 1,Metro,Tonnes,ENV2.1,Tonnes of municipal solid waste sent to landfill per capita,Minimised solid waste,(1)Tonnes of waste disposed of in a licensed landfill / (2) total population,Annual,The percentage of the city's solid waste that is disposed of in licensed (sanitary) landfills
Environment and Waste,ENV,Tier 1,Metro,Tonnes,ENV2.2,Tonnes of municipal solid waste diverted from landfill per capita,Minimised solid waste,[(1)Tonnes of municipal waste diverted from landfill  through municipal facilities] / [(2)total population],Annual,"The tonnage of the city's solid waste that is recycled at centralised recycling centres, divided by the total population of the municipality.  Recycled materials include those materials diverted from the waste stream, recovered and processed into new products following local government permits and regulations (International Solid Waste Association). "
Environment and Waste,ENV,Tier 3,Metro  ,Number of tonnes/capita,ENV2.3,Total collected municipal solid waste per capita,Minimised solid waste,=(1) Amount of municipal waste collected in tonnes / (2) city population,Annual,"The total amount of municipal waste (expressed in tonnes) collected per capita. Municpal waste refers to waste collected by or on behalf of municipalities. It includes household, commercial, bulky, garden and open space cleaning waste, but excludes wastewater, builders or hazardous waste."
Environment and Waste,ENV,Tier 1,National,Percentage of households,ENV3.1,Percentage of households with basic refuse removal services or better,Increased access to refuse removal,(1) Number of households receiving at least once-weekly refuse removal services / (2) Total number of households,Annual,Households with basic refuse removal services or better (defined as a minimum of once weekly collection as defined in the Back to Basics framework) as a percentage of total municipal households
Environment and Waste,ENV,Tier 1,Metro,Percentage  of informal settlements,ENV3.11,Percentage of known informal settlements receiving integrated waste handling services,Increased access to refuse removal, (1) Number of informal settlements receiving integrated waste services / (2) Total number of recognised informal settlements,Annual,The proportion of recognised informal settlements within the metropolitan area which are receiving integrated refuse collection and cleaning services
Environment and Waste,ENV,Tier 3,Metro,Percentage of waste removal complaints,ENV3.2,Waste removal complaints due to non-collection as a percentage of total consumer units/billed accounts,Increased access to refuse removal,(1) Number of complaints received/ (2) Number of refuse consumer units serviced at the end of the financial year,Annual,"The number of waste collection complaints received over a year, as a percentage of the number of consumer units at the end of the reporting period."
Environment and Waste,ENV,Tier 4,Shared,Index/category,ENV4.1,Ecosystem/vegetation type threat status,Conserved and enhanced biodiversity,"To be determined. Evaluate the condition of each ecosystem against its own target, and assign an ecosystem threat score based on the performance across all of the ecosystems in the municipality. Score categories could be Critically Endangered, Endangered, Vulnerable and Least Threatened. ",Biennial,"An indicator of how threatened local vegetation types are, in other words, the degree to which vegetation types are still natural or near-natural, or are alternatively losing vital aspects of their structure, function or composition. Ecosystems can be classified into threat status categories, such as Critically Endangered, Endangered, Vulnerable and Least Threatened. At the city level vegetation types will be the unit of analysis"
Environment and Waste,ENV,Tier 1,Metro,Percentage of land in hectares,ENV4.11,Percentage of biodiversity priority area within the metro,Conserved and enhanced biodiversity,"(1) Total land area in hectares classified as ""biodiversity priority areas"" at the end of the current reporting period  / (2) Total municipal area in hectares * 100",Annual,"Proportional share of land cover categories aggregated to relate to biological priority areas within the municipality, relative to the total municipal area. It indicates the presence of available habitats across a municipal area important for maintaining ecological processes, expressed in ha. A decline over time indicates a loss of land supporting biodiversity and local ecosystems. Biodiversity priority areas, or areas of high biodiversity importance, are defined by SANBI (2016) as ""Natural or semi-natural areas in the landscape or seascape that are important for conserving a representative sample of ecosystems and species, for maintaining ecological processes, or for the provision of ecosystem services."""
Environment and Waste,ENV,Tier 4,Shared,Category,ENV4.2,Ecosystem/vegetation type protection level,Conserved and enhanced biodiversity,"tbd: Assignment of score based on categories such as well represented, moderately represented, poorly represented or not represented. If any vegetation types are",Biennial,"An indicator of the extent to which different vegtation types are adequately represented in the existing protected area network at the city level. Vegetation types can be categorised into different levels of protection, for example, well represented, moderately represented, poorly represented or not represented. This should be based on performance against the current biodiversity targets for each vegetation type. The scoring methodology should be aligned with implementation of a similar indicator at the national level."
Environment and Waste,ENV,Tier 1,Metro,Percentage of land in hectares,ENV4.21,Proportion of biodiversity priority areas protected,Conserved and enhanced biodiversity,(1) Area of biodiversity priority areas in hectares which is protected  / (2) Total area of land in hectares which is identified as a biodiversity priority area X 100,Annual,"The proportion of land identified through municipal strategic environmental assessments and EMFs as biodiversity priority areas, which is protected through some mechanism. Mechanisms may include stewardship agreements, conventional protected areas, & biodiversity agreements, among others."
Environment and Waste,ENV,Tier 4,Shared,Wetland condition index,ENV4.3,Wetland condition index,Conserved and enhanced biodiversity,(1) Wetland Condition Index,Biennial,Refers to the overall index level rating for wetland conditions within the municipality.
Environment and Waste,ENV,Tier 1,Metro,Percentage,ENV5.1,Recreational water quality ,Conserved and enhanced  coastal resources ,(1) count of water samples which met the threshold criteria / (2) total number of samples taken in the reporting year,Annual,"The percentage of annual recreational water samples taken which met the minimum requirement for recreational water quality, namely sufficient or above. "
Environment and Waste,ENV,Tier 2,Shared,Tonnes of CO2e/capita,ENV6.1,GHG emissions per capita ,Mitigation of and adaptation to climate change,(1) Total GHG gases in tonnes / (2) Total municipal population.,Annual,"The greenhouse gas emissions measured in tonnes per capita measured as the total amount of greenhouse gases in tonnes (equivalent carbon dioxide units) generated over a reporting year by all activities within the city, including indirect emissions outside city boundaries (numerator) divided by the current city population (denominator). It uses the methodology developed under the GPC Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC), as this methodology is currently used by many of the metro's in SA currently."
Housing and Community Facilities,HS,Tier 1,National,Percentage of households,HS1.1,Percentage of households living in adequate housing,Improved access to adequate housing,((1 )Number of households in formal dwellings/ (2)Total no. of households within the municipality) X 100,Annual,"Adequate housing' has seven elements: legal security of tenure, services, affordability, habitability, accessibility, location and cultural adequacy. For the purposes of this indicator, adequate housing is defined as 'formal' housing in terms of  the Statistics South Africa definition used in the General household Survey, which is ""A structure built according to approved plans, i.e. house on a separate stand, flat or apartment, townhouse, room in backyard, rooms or flatlet elsewhere"", thereby excluding informal (whether in in informal settlement or back yard) and traditional dwellings. The indicator is therefore the number of households residing in formal dwellings as a percentage of the total number of households within the municipality. "
Housing and Community Facilities,HS,Tier 2,Metro,Number of housing units,HS1.11,Number of subsidised housing units completed,Improved access to adequate housing,Simple count of all (1) subsidised housing units completed by the metro in the financial year. ,Annual,The number of all subsidised housing units (in terms of minimum levels of service) completed by the metro in the municipal financial year.
Housing and Community Facilities,HS,Tier 1,Metro,Number of serviced sites,HS1.12,Number of formal sites serviced,Improved access to adequate housing,A simple count of all (1) sites serviced with all three of the basic services.,Annual,"The number of all sites serviced with new connections for all three services of electricity, water and sanitation to a basic level within the municipality in the financial year. These sites do not include the construction of top structures.  A basic level of service is defined an individual service to each site (not shared) meeting the national minimum standard (the Regulations in terms of the Water Services Act in the case of water and sanitation and the Policy Guidelines for the Integrated National Electrification Programme  (INEP) 2016/17 in the case of electricity), or the minimum standards defined by the municipality, whichever is higher. "
Housing and Community Facilities,HS,Tier 3,National,Ratio: serviced stands completed to property title backlog ,HS1.2,Title deed backlog ratio,Increased security of tenure,(1)Number of serviced residential stands completed through state subsidised programmes in the same financial year within the metro : ((2) Total number of serviced residential stands completed through state subsidised programmes within the metro historically - (3) Number of title deeds registered in the Deeds Office for serviced residential stands completed through state subsidised programmes within the metro  historically),Annual,"The number of serviced residential stands completed by the State (including Municipal/Provincial/National) in a single financial year, compared to the number of serviced residential stands (with or without top structures) historically provided by the State (including Municipal/Provincial/National) for which titled deeds have not yet been registered. "
Housing and Community Facilities,HS,Tier 2,Shared,Number of days: Title deed,HS1.21,Average number of days taken to register the title deed (subsidised stands and units),Increased security of tenure,Sum of (1) Number of days between the completion date of a subsidised housing unit on the Housing Subsidy System and the registration date of the title deed registered in the deeds office for the same unit for all subsidised housing units registered  in the financial year/ (2) Total number of subsidised housing units registered in the financial year.,Annual,"The indicator measures the average number of days it takes to register a title deed for subsidised housing beneficiaries in the metro, from the date of completion of the house until the date of formal registration at the deeds register, on average per housing unit completed within the metro. Applies only to housing units completed by the metro. Includes all deeds registered in a finanical year, regardless of which finanical year the housing unit was completed."
Housing and Community Facilities,HS,Tier 2,Metro,Percentage of households in informal settlements targeted for upgrading,HS1.3,Percentage of households in informal settlements targeted for upgrading,Increased security of tenure,((1)Number of households living in informal settlements targeted for upgrading / (2)Number of households living in informal settlements in the metro)*100,Annual,The number of households living in dwellings in informal settlements that have been designated for permanent in-situ upgrade (ie. NUSP Category A and B1) as a percentage of all households living in informal settlements within the municipality. 
Housing and Community Facilities,HS,Tier 1,Metro,Number of informal settlements,HS1.31,Number of informal settlements enumerated and classified (in terms of NUSP or equivalent classification),Increased security of tenure,"Simple count of the (1) number of informal settlements enumerated and classified according to the UISP categorisation, or equivalent, in the period under assessment.",Annual,"The number of designated informal settlements within the municipal area enumerated and classified according to the NUSP categorisation, or equivalent. Enumeration includes the collection of household level data of informal settlment residents, as well as the levels and status of services in the settlement."
Housing and Community Facilities,HS,Tier 1,Metro,Percentage of informal settlements,HS1.32,Percentage of informal settlements using a participatory approach to planning or implementing upgrading ,Increased security of tenure,The number of (1) informal settlements that are in the process of upgrading through participatory planning + (2) settlements which have been identified for future upgrading through particpatory planning for which budget has been allocated for participatory processes in the MTREF  / (3) the total number of discrete informal settlements within the municpality,Annual,"Percentage of informal settlements in which a participatory approach to planning or implementing upgrading is being used. A participatory approach is defined as including the settlement residents, the ward committee and ward councillor in a process in which they are able to influence the development priorities and the settlement layout. Involvement of the ward councillor or ward committee only, or processess that provide information about proposed muncipal plans at public meetings do not qualify as participatory processes. "
Housing and Community Facilities,HS,Tier 3,National,Percentage of unit residential transactions,HS2.1,Percentage of property market transactions in the gap and affordable housing market range,Improved functionality of the property market,((1)Number of unit residential transactions <R500k/(2)Total number of unit residential transactions within the municipal area) X 100,Annual,The indicator measures the number of unit residential transactions per financial year for all properties within the municipal area falling within the affordable housing market range (subsidy and gap housing in the range of <R500k property value). This number is divided by the total number of unit residential transactions within the municipal area. The result is an indicator which shows a resulting combination of supply and demand for the gap market within the overall property market. 
Housing and Community Facilities,HS,Tier 1,Shared,Percentage of rateable residential properties,HS2.2,Rateable residential properties as a percentage of total households in the municipality,Improved functionality of the property market,"((1)Number of residential properties which are contained on the valuation roll, for all values / (2)Total number of households in the metro) x 100",Annual,This indicator measures the total number of formalised residential properties on the municipal valuation roll at a standard collection time. This number is divided by the total number of households in the municipal area at the same point in time.
Housing and Community Facilities,HS,Tier 1,Metro,Number of subsidised residential properties entering the valuation roll,HS2.21,Number of rateable residential properties in the subsidy housing market entering the municipal valuation roll,Improved functionality of the property market,A simple count of (1) all housing units completed within the municipal area using a state subsidy (on the HSS) and entering the municipal valuation roll within the period under assessment.,Annual,"The indicator is defined as the number of housing units built within the municipal area (on the HSS) that benefited from a state subsidy, entering the municipal valuation roll. "
Housing and Community Facilities,HS,Tier 2,Metro,Number of days: Applications,HS2.22,Average number of days taken to process building plan applications,Improved functionality of the property market,"(1) Sum of the number of days between the date of submission of a complete building plan application to the metro and the communication of the adjudication result of the application, for all applications in the period of assessment /(2) Total number of building plan applications adjudicated in the period of assessment.",Quarterly,"The indicator measures the number of days a building plan application to the metro takes to be processed, from the date of submission of all required information to the date of communication of the initial adjudication results of that application, on average, per application. Excludes time taken to process appeals of the initial decision."
Housing and Community Facilities,HS,Tier 1,National,Percentage of households in formal dwellings,HS2.3,Percentage of households living in formal dwellings who rent,Improved functionality of the property market,((1 )Number of households described as 'renting'  in formal dwellings/(2)Total number of households in formal dwellings within the municipal area)*100,Annual,"The total number of all households in the metro which regurlarly pay a sum of money or provide a service in return for a place of residence to a second party for the use of residential purposes in formal dwellings as a proportion of all households living in formal dwellings. The tenure status in the General Household Survey will be the sum of the two categories: ""1 = Rented from private individual"" and ""2 = Rented from other (incl. municipality and social housing institutions)""."
Housing and Community Facilities,HS,Tier 2,Shared,Ratio: Area of open space in square meters per capita,HS3.1,Square meters of municipally owned or maintained public outdoor recreation space per capita,Increased access to and utilisation of social and community facilities,Sum of the (1) Square meters of muncipally owned or maintained outdoor recreational area / (2) Total municipal population,Annual,"Square meters of municipally owned or maintained active outdoor space intended for recreational purposes. Public recreation space is defined broadly to mean land and open space available to the public for recreation. Recreation space shall include only space that primarily serves a recreation purpose. Includes: parks, outdoor sports facilities and public open space. Does not include beaches, resorts and nature reserves. Does not include pedestrianised streets and sidewalks, but may include pedestrian walkways with primarily a recreational purpose. Facilites charging an access fee may still be regarded as 'public' provided that no other access criteria are applied (annual membership fee, club affiliations, etc.)."
Housing and Community Facilities,HS,Tier 1,Shared,Ratio: Count of community halls per 100 000 population,HS3.2,Number of community halls per 100 000 population,Increased access to and utilisation of social and community facilities,((1) Count of community halls/ (2) Municipal population) X 100 000,Annual,"The number of community halls per 100 000 population. A community hall is defined by the CSIR Guidelines for the Provision of Social Facilities in South African Settlements (2012) as a ""Centre or hall for holding public meetings, training, entertainment and other functions and having a variety of facilities such as a kitchen, toilets, storage space, etc. which should be provided at nominal rates for hire, with rentals tied to socio-economic status of area to provide affordable service."""
Housing and Community Facilities,HS,Tier 1,Shared,Ratio: Count of libraries per 100 000 population,HS3.3,Number of public libraries per 100 000 population,Increased access to and utilisation of social and community facilities,((1) Count of libraries/(2) Municipal population) X 100 000,Annual,The number of libraries per 100 000 population
Housing and Community Facilities,HS,Tier 3,Metro,Percentage of hours of sport facility bookings,HS3.4,Percentage utilisation rate of sports fields,Increased access to and utilisation of social and community facilities,(1) Sum of hours booked across all sports fields in the period of assessment / (2) Sum of available hours for all sports fields in the period of assessment.,Annual,The percentage of available hours across all sports facilites that are booked in a year.
Housing and Community Facilities,HS,Tier 2,Metro,Percentage of hours of community hall bookings,HS3.5,Percentage utilisation rate of community halls,Increased access to and utilisation of social and community facilities,(1) Sum of hours booked across all community halls in the period of assessment / (2) Sum of available hours for all community halls in the period of assessment,Annual,The percentage of available hours across all community halls that are booked in a year.
Housing and Community Facilities,HS,Tier 1,Metro,Number of visits per library per year,HS3.6,Average number of library visits per library,Increased access to and utilisation of social and community facilities,(1) Total number of library visits / (2)Count of libraries,Annual,The average number of library visits per library per year.
Transport and Roads,TR,Tier 3,Metro,Percentage of dwelling units,TR1.1,Percentage of dwelling units within 500m of scheduled public transport service ,Modal shift from private to public transport and NMT,(1) Number of  dwelling units within 500m of a scheduled public transport service access point / (2) Total number of dwelling units city-wide X 100,Annual,"This indicator measures the number of dwelling units located within a 500m radius of a scheduled public transport service (as the crow flies), as a percentage of all dwelling units in a municipality."
Transport and Roads,TR,Tier 3,Metro,m2 of internal floor space,TR1.11,"Non-residential development approved within 500m of scheduled public transport service, by internal floor space",Modal shift from private to public transport and NMT,Sum of the (1) Floor space of each approved non-residential development within  a 500m scheduled public transport service catchment,Annual,The extent of internal floor space approved for non-residential building construction within 500m of a scheduled public transport service.
Transport and Roads,TR,Tier 1,Metro,Number of operational access points,TR1.12,Number of scheduled public transport access points added,Modal shift from private to public transport and NMT,(1) Simple count of scheduled public transport access points added,Annual,The number of new public transport access points which has been constructed and operational.
Transport and Roads,TR,Tier 3,Metro,Percentage of NMT paths,TR1.2,NMT paths as a percentage of the total municipal road network length,Modal shift from private to public transport and NMT,(1) Sum total length of NMT paths / (2) Sum total length of municipal road network,Annual,The sum total length of all NMT paths (in KMs) within the metropolitan area divided by the total length of municipal road network (in KMs)
Transport and Roads,TR,Tier 3,Metro,Kilometers of NMT path,TR1.21,Length of NMT paths built,Modal shift from private to public transport and NMT,Sum total (1) Length in KMs of NMT paths built,Annual,"The total length (in KMs) of NMT paths (defined as surfaced pedestrian sidewalks,  footpaths and cycling lanes) built and completed over the financial year."
Transport and Roads,TR,Tier 3,National,Percentage of commuters,TR1.3,Percentage of commuters (city-wide) using private motorised transport,Modal shift from private to public transport and NMT,((1) Number of commuters using private transport / (2) Number of commuters citywide) X 100,Annual,"The number of commuters using private transport, as a proportion of the number of commuters citywide"
Transport and Roads,TR,Tier 3,National,Percentage of monthly household expenditure (%),TR2.1,"Percentage share of monthly income spent on public transport, for households using public transport",Improved affordability of public transport,((1) Weekly money spent on minibus taxi + (2) Weekly money spent on bus + (3) Weekly money spent on rail) ) * 52 / ((4) Average monthly house income of households using public transport * 12 ) X100,Annual,"Expenditure on all public transport modes as % of the average monthly household income, for households using public transport on a typical workday."
Transport and Roads,TR,Tier 1,National,Minutes,TR3.1,Average public transport commuting time,Reduced travel time,"(1) Simple average of travel time in minutes to work or educational institution, for persons using public transport",Annual,"Average one-way weekday peak hour commuting time via the public transport system city-wide, to work or educational institution."
Transport and Roads,TR,Tier 2,Metro,Number of daily trips,TR3.11,Number of weekday scheduled municipal bus passenger trips,Reduced travel time,Sum total of (1) the number of passenger trips on scheduled municipal bus services on weekdays,Annual,"The number of passenger trips on scheduled municipal bus services, based on fare collection, per weekday."
Transport and Roads,TR,Tier 1,National,Minutes,TR3.2,Average private transport commuting time,Reduced travel time,"(1) Simple average of travel time in minutes to work or educational institution, for persons using private transport",Annual,"Average one-way weekday peak hour commuting time of private transport users, from home to work or educational institution."
Transport and Roads,TR,Tier 3,National,Percentage of respondents,TR4.1,"Percentage of respondents indicating that they believe public transport to be ""safe""",Improved satisfaction with public transport services,"(1) Number of respondents surveyed who perceive public transport as ""safe"" or ""very safe"" / (2) Number of respondents X 100",Annual,"Percentage of respondents surveyed who indicated that they perceived public transport to be ""safe"" or ""very safe"""
Transport and Roads,TR,Tier 3,National,Percentage of respondents,TR4.2,"Percentage of respondents indicating that they believe public transport to be ""reliable""",Improved satisfaction with public transport services,"(1) Number of respondents surveyed who perceive public transport as ""reliable"" or ""very reliable"" / (2) Number of respondents X 100",Annual,"Percentage of respondents surveyed who indicated that they perceived public transport to be ""reliable"" or ""very reliable"""
Transport and Roads,TR,Tier 2,Metro,Percentage of scheduled bus services reporting to metros,TR4.21,Percentage of  municipally-contracted scheduled bus services 'on time',Improved satisfaction with municipal bus services,(1) Scheduled bus arrivals on time / (2) Total scheduled bus arrivals X 100,Annual,"The percentage of all scheduled municipal bus service arrivals on-time, per year."
Transport and Roads,TR,Tier 3,National,Percentage of households,TR5.1,Percentage of households less than 10 minutes walk from scheduled public transport,Improved access to public transport,"Number of respondents who spend 10 minutes of less reaching either (1) bus, or (2) rail, whichever is less / (3) the number of respondents who use bus or train as a preferred mode of transport X100",Annual,"The percentage of households surveyed who lives less than 10 minutes walk from bus and rail, excl. MBT. "
Transport and Roads,TR,Tier 3,National,Percentage of households,TR5.2,Percentage of persons with disability where access to public transport is problematic,Improved access to public transport and NMT,(1) The number of households where one or more members find access to public transport 'difficult'  or 'very difficult' / (2) households surveyed with one or more members with disability X100,Annual,The percentage of households surveyed where one or more members are limited in daily travel activity due to disability. 
Transport and Roads,TR,Tier 1,Metro,Percentage of buses,TR5.21,Percentage of municipally-contracted bus fleet that are low entry,Improved access to public transport and NMT,(1) Number of buses that have low floor entry / (2) Total number of buses in the municipal fleet X 100,Annual,"The total number of operational municipal buses in the municipally-contracted fleet that have low entry access, as a percentage of the total number of buses in the municipally-contracted fleet. "
Transport and Roads,TR,Tier 3,National,Percentage of fatal crashes,TR6.1,Percentage of fatal crashes attributed to road and environmental factors,Improved road safety,(1) Number of fatal crashes attributed to road and environmental factors / (2) Overall number of fatal crashes  X 100,Annual,The percentage of fatal crashes attributed to road and environmental factors in relation to overall fatal crashes per year within the municipal boundaries.
